Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-November-2018,1903.00,1905.95,1875.10,1877.75,1883.469169419397077641,67206,2672,126580429.00,22008,32.75,30.85,-25.25
19-November-2018,1896.00,1907.00,1867.50,1902.05,1886.701825851742126618,62108,3043,117179277.00,17630,28.39,39.50,6.05
16-November-2018,1889.90,1898.55,1868.00,1882.25,1874.929715508360408907,315475,6303,591493452.00,196007,62.13,30.55,-7.65
15-November-2018,1869.00,1898.95,1860.00,1865.50,1869.242778072430065412,367665,4623,687255146.00,276290,75.15,38.95,-3.50
14-November-2018,1935.90,1935.90,1872.50,1880.55,1884.141751687124714384,150552,7261,283661309.00,52287,34.73,63.40,-55.35
13-November-2018,1925.00,1939.80,1903.05,1935.80,1928.094479715915204993,46465,1908,89588910.00,9446,20.33,36.75,10.80
12-November-2018,1910.00,1944.85,1909.80,1915.90,1927.182896981383964992,80898,3234,155905242.00,16327,20.18,35.05,5.90
9-November-2018,1955.00,1962.95,1904.00,1909.80,1918.742413930009642107,70524,3231,135317390.00,20028,28.40,58.95,-45.20
7-November-2018,1948.00,1950.35,1935.00,1942.80,1943.361147487313799312,24436,1550,47487973.00,9448,38.66,15.35,-5.20
6-November-2018,1891.00,1936.00,1890.00,1931.95,1926.277942432840071299,94811,4249,182632338.00,23857,25.16,46.00,40.95
5-November-2018,1914.00,1926.70,1885.00,1889.95,1902.994662420525011493,89179,5949,169707161.00,24821,27.83,41.70,-24.05
2-November-2018,1935.80,1953.50,1905.75,1909.80,1925.288573131805525162,132521,4569,255141167.00,25661,19.36,47.75,-26.00
1-November-2018,1940.10,1950.00,1902.55,1934.60,1918.554298458217071630,98198,3423,188398195.00,26550,27.04,47.45,-5.50
31-October-2018,1904.40,1944.60,1878.65,1937.60,1912.635036496350364963,136726,5543,261506938.00,22912,16.76,65.95,33.20
30-October-2018,1866.95,1909.00,1846.55,1895.40,1890.460929187847263269,143803,6699,271853953.00,28018,19.48,62.45,28.45
29-October-2018,1810.00,1878.00,1784.00,1869.75,1825.210002488181139586,140665,6068,256743165.00,26041,18.51,94.00,59.75
